rgn_id,sector,year,employed_wo_pay
13,fism,2010,162251
13,rd,2010,3034
13,con,2010,112685
13,ts,2010,67848
13,em,2010,27922
13,sb,2010,100871
13,ser,2010,60203
13,pa,2010,52582
13,tour,2010,116099
13,env,2010,5915
13,fism,2011,153931
13,rd,2011,2650
13,con,2011,57996
13,ts,2011,67846
13,em,2011,31117
13,sb,2011,110440
13,ser,2011,55503
13,pa,2011,53943
13,tour,2011,123519
13,env,2011,6470
13,fism,2012,157651
13,rd,2012,2441
13,con,2012,62884
13,ts,2012,75469
13,em,2012,32196
13,sb,2012,95896
13,ser,2012,56299
13,pa,2012,55059
13,tour,2012,128952
13,env,2012,7066
13,fism,2013,156466
13,rd,2013,2544
13,con,2013,59213
13,ts,2013,83572
13,em,2013,31646
13,sb,2013,103581
13,ser,2013,56833
13,pa,2013,57147
13,tour,2013,129344
13,env,2013,8800
13,fism,2014,157040
13,rd,2014,2470
13,con,2014,57023
13,ts,2014,81585
13,em,2014,31166
13,sb,2014,110291
13,ser,2014,53189
13,pa,2014,56242
13,tour,2014,129660
13,env,2014,9040
